2024-11-06|16:54:34|Groceries|Starbucks|1837.02|468328
2025-02-08|00:21:50|Coffee|Target|960.01|863887
2025-03-29|07:05:29|Subscription|Costco|-400.13|468328
2025-02-26|05:05:10|Online Order|Costco|1043.75|468328
2025-01-26|02:05:26|Gift|Starbucks|691.68|863887
2025-01-03|04:41:36|Subscription|Apple|-201.55|468328
2025-04-14|04:33:40|Gas|Shell|1413.63|988148
2025-03-17|12:22:47|Coffee|Costco|982.76|190260
2025-03-08|20:23:01|Deposit|Target|243.14|863887
2025-01-13|21:21:40|Online Order|Walmart|156.08|988148
2025-02-19|20:33:46|Online Order|Starbucks|286.58|468328
2025-02-26|21:46:20|Gift|Uber|1610.16|468328
2024-12-19|23:10:33|Payment|Amazon|1519.99|863887
2024-11-21|02:44:49|Online Order|Netflix|-269.76|190260
2024-11-03|14:13:59|Groceries|Target|694.42|863887
2025-01-25|02:01:52|Deposit|Walmart|1065.54|903690
2025-03-16|14:23:47|Electronics|Costco|697.8|863887
2025-01-15|10:35:20|Online Order|Apple|-113.8|903690
2025-03-26|15:32:06|Gift|Costco|-267.71|190260
2025-04-04|03:49:12|Electronics|Target|-187.16|988148
2025-04-29|05:25:43|Ride|Apple|18.23|468328
2023-11-21|12:21:22|keyboard|amazon|34.0|342323
2023-12-12|12:21:12|keyboard|amazon|230.0|123456
2023-01-01|12:12:12|keyboard|amazon|120.0|123456
2023-11-11|12:12:12|amazon|amazon|120.0|123456
2023-12-12|12:12:12|cleaning|google|200.0|123456
2023-01-01|12:12:12|keyboard|amazon|400.0|123456
2024-12-12|12:12:12|macbook|apple|-2000.0|123456
